# prefix,country_code,region_code,city,postal
107.182.128.0/24,US,US-NY,New York,10001
107.182.129.0/24,NL,NL-NH,Amsterdam,1017
107.182.130.0/24,US,US-NY,New York,10001
107.182.131.0/24,US,US-NY,Los Angeles,90001
163.123.140.0/24,US,US-NY,Los Angeles,90001
163.123.141.0/24,NL,NL-NH,Amsterdam,1017
163.123.142.0/24,US,US-NY,Los Angeles,90001
163.123.143.0/24,NL,NL-NH,Amsterdam,1017
208.67.104.0/24,NL,NL-NH,Amsterdam,1017
208.67.105.0/24,NL,NL-NH,Amsterdam,1017
208.67.106.0/24,NL,NL-NH,Amsterdam,1017
208.67.107.0/24,NL,NL-NH,Amsterdam,1017
209.182.100.0/24,NL,NL-NH,Amsterdam,1017
209.182.101.0/24,US,US-NY,Los Angeles,90001
209.182.102.0/24,NL,NL-NH,Amsterdam,1017
209.182.103.0/24,NL,NL-NH,Amsterdam,1017
130.51.112.0/24,US,US-NY,Los Angeles,90001
130.51.113.0/24,US,US-NY,Los Angeles,90001
130.51.114.0/24,US,US-NY,Los Angeles,90001
130.51.115.0/24,US,US-NY,Los Angeles,90001
185.28.36.0/24,NL,NL-NH,Amsterdam,1017
185.28.37.0/24,NL,NL-NH,Amsterdam,1017
185.28.38.0/24,NL,NL-NH,Amsterdam,1017
185.28.39.0/24,NL,NL-NH,Amsterdam,1017
185.126.34.0/24,NL,NL-NH,Amsterdam,1017
109.205.8.0/24,DE,DE-DE,Langen,63225
109.205.9.0/24,DE,DE-DE,Langen,63225
185.121.120.0/24,NL,NL-NH,Amsterdam,1017
185.121.122.0/24,NL,NL-NH,Amsterdam,1017
185.121.123.0/24,NL,NL-NH,Amsterdam,1017
185.188.140.0/24,NL,NL-NH,Amsterdam,1017
185.239.243.0/24,NL,NL-NH,Amsterdam,1017
194.85.249.0/24,NL,NL-NH,Amsterdam,1017
194.85.250.0/24,NL,NL-NH,Amsterdam,1017
194.87.132.0/24,NL,NL-NH,Amsterdam,1017
195.133.16.0/24,NL,NL-NH,Amsterdam,1017
195.133.17.0/24,NL,NL-NH,Amsterdam,1017
195.133.39.0/24,NL,NL-NH,Amsterdam,1017
2.58.148.0/22,NL,NL-NH,Amsterdam,1017
206.212.241.0/24,NL,NL-NH,Amsterdam,1017
206.212.243.0/24,NL,NL-NH,Amsterdam,1017
206.212.245.0/24,NL,NL-NH,Amsterdam,1017
206.212.247.0/24,NL,NL-NH,Amsterdam,1017
206.212.249.0/24,NL,NL-NH,Amsterdam,1017
206.212.250.0/24,NL,NL-NH,Amsterdam,1017
206.212.251.0/24,NL,NL-NH,Amsterdam,1017
206.212.252.0/24,NL,NL-NH,Amsterdam,1017
212.192.216.0/22,NL,NL-NH,Amsterdam,1017
212.192.240.0/24,NL,NL-NH,Amsterdam,1017
212.192.243.0/24,NL,NL-NH,Amsterdam,1017
212.192.245.0/24,NL,NL-NH,Amsterdam,1017
212.193.29.0/24,NL,NL-NH,Amsterdam,1017
213.209.146.0/24,US,US-NY,Los Angeles,90001
